date,service,statut,objet
2026-01-12,Voirie,Clôturée,Nid-de-poule rue des Acacias
2026-01-18,Espaces verts,En cours,Élagage square Léon Blum
2026-02-03,État civil,Clôturée,Demande d'acte de naissance
2026-02-14,Voirie,En cours,Signalisation carrefour Pasteur
2026-02-27,Urbanisme,En attente,Déclaration préalable de travaux
2026-03-05,Espaces verts,Clôturée,Remplacement de bancs parc Nord
2026-03-11,Voirie,En attente,Éclairage public avenue de la Gare
2026-03-22,État civil,Clôturée,Inscription sur les listes électorales
2026-04-02,Urbanisme,En cours,Permis de construire lot 14
2026-04-09,Espaces verts,En attente,Arrosage automatique stade
